id,sale_id,medicine_name,quantity,unit_price,discount_amount,gst_amount,total_amount
1,1,Paracetamol 500mg,5,6.00,0.00,1.50,31.50
2,1,Amoxicillin 500mg,2,25.00,0.00,2.50,52.50
3,1,Cetirizine 10mg,3,5.00,0.00,0.75,15.75
4,2,Azithromycin 500mg,1,65.00,0.00,3.25,68.25
5,2,Metformin 500mg,3,10.00,0.00,1.50,31.50
6,3,Losartan 50mg,4,12.00,0.00,2.40,50.40
7,3,Amlodipine 5mg,3,8.00,0.00,1.20,25.20
8,4,Diclofenac 50mg,5,8.00,0.00,2.00,42.00
9,5,Paracetamol 650mg,6,9.00,0.00,2.70,56.70
10,5,Vitamin D3 2000IU,4,8.00,0.00,1.60,33.60
11,6,Amoxicillin 500mg,3,25.00,0.00,3.75,78.75
12,6,Aspirin 75mg,10,5.00,0.00,2.50,52.50
13,7,Omeprazole 20mg,4,10.00,0.00,2.00,42.00
14,8,Metformin 500mg,5,10.00,0.00,2.50,52.50
15,8,Empagliflozin 25mg,2,85.00,0.00,8.50,178.50
16,9,Clobetasol 0.05%,2,45.00,0.00,4.50,94.50
17,10,Vitamin B12 1000mcg,5,12.00,0.00,3.00,63.00
18,11,Vitamin C 500mg,3,6.00,0.00,0.90,18.90
19,11,Omega-3 1000mg,2,20.00,0.00,2.00,42.00
20,12,Paracetamol 500mg,2,6.00,0.00,0.60,12.60
